월,제품명,매출액(만원),고객수,지역,성장률(%)
1월,클라우드 서비스,8819,239,서울,5.6
1월,AI 솔루션,12572,238,부산,3.3
1월,IoT 서비스,10848,201,대전,7.5
1월,클라우드 서비스,11070,105,대구,5.0
1월,IoT 서비스,8869,193,인천,4.6
2월,IoT 서비스,21746,106,서울,7.8
2월,보안 플랫폼,8212,244,부산,12.5
2월,데이터 분석,19149,121,대전,4.0
2월,보안 플랫폼,11349,73,대구,6.9
2월,보안 플랫폼,19270,204,인천,5.4
3월,클라우드 서비스,23054,187,서울,3.6
3월,데이터 분석,10582,191,부산,5.8
3월,IoT 서비스,19850,197,대전,4.5
3월,클라우드 서비스,9501,219,대구,5.0
3월,보안 플랫폼,10614,268,인천,5.0
4월,클라우드 서비스,20455,121,서울,7.9
4월,보안 플랫폼,13329,144,부산,6.6
4월,보안 플랫폼,10339,205,대전,10.3
4월,IoT 서비스,16021,91,대구,8.0
4월,보안 플랫폼,15196,225,인천,6.2
5월,클라우드 서비스,15505,260,서울,2.4
5월,보안 플랫폼,21145,118,부산,2.9
5월,IoT 서비스,18311,104,대전,10.5
5월,데이터 분석,23035,86,대구,5.4
5월,AI 솔루션,16609,241,인천,9.6
6월,IoT 서비스,21087,142,서울,4.9
6월,AI 솔루션,24696,176,부산,3.2
6월,클라우드 서비스,11592,89,대전,10.2
6월,데이터 분석,10081,148,대구,7.0
6월,데이터 분석,16238,298,인천,9.2
7월,클라우드 서비스,11753,224,서울,13.5
7월,보안 플랫폼,19146,78,부산,5.8
7월,AI 솔루션,22867,50,대전,14.4
7월,보안 플랫폼,24403,245,대구,4.3
7월,클라우드 서비스,17779,265,인천,10.3
8월,IoT 서비스,14517,89,서울,6.9
8월,AI 솔루션,8018,203,부산,6.2
8월,클라우드 서비스,11665,287,대전,6.7
8월,보안 플랫폼,15846,64,대구,5.1
8월,IoT 서비스,10580,71,인천,11.5
9월,클라우드 서비스,12120,82,서울,10.6
9월,IoT 서비스,13410,117,부산,8.9
9월,IoT 서비스,21865,296,대전,4.8
9월,IoT 서비스,14591,232,대구,6.1
9월,보안 플랫폼,22355,280,인천,8.7
10월,클라우드 서비스,16123,107,서울,2.8
10월,클라우드 서비스,15540,200,부산,4.9
10월,클라우드 서비스,9929,108,대전,2.9
10월,클라우드 서비스,18827,68,대구,8.7
10월,보안 플랫폼,23906,104,인천,9.0
11월,IoT 서비스,23488,112,서울,12.2
11월,데이터 분석,14239,74,부산,3.3
11월,데이터 분석,19609,158,대전,7.3
11월,클라우드 서비스,11224,65,대구,7.2
11월,보안 플랫폼,11580,113,인천,4.5
12월,IoT 서비스,22700,85,서울,7.5
12월,보안 플랫폼,23159,113,부산,13.4
12월,클라우드 서비스,22520,256,대전,13.2
12월,IoT 서비스,11208,62,대구,10.5
12월,IoT 서비스,8483,298,인천,3.2
